,country,ctyname,ptyid,ptyname,CPARTY,valueinf,routinization,polar,enpp,subsid,execoff,legisoff,formation,group,page,zpolar,zenpp,zsubsid,zexecoff,zlegisoff,zformation,zgroup,zpage,formal,informal,loyalty,formal_uncertain,inform_uncertain,value_uncertain,dependency,dominant,experience,president,coalition,gdppc,regime,volat,seatshare_t2,president_t2,partyinst_t1,routinization_t1,valueinf_t1,seatshare_t1,incumbent_t2
2,10,ARG,1002,Union Civica Radical,ARG_ Cambiemos,0.75757575,0.870833337,2.055735588,3.46260096,3.871201038,2.152730703,23.73540856,0.449999988,0.043478262,4.762174129,-0.618377268,-0.524056137,1.520754457,1.039820433,0.292453051,0.236074746,-0.860956013,1.433600903,0.916666687,0.824999988,0.75757575,0.042068698,0.056133498,0.045904685,0.70588237,0,7.719444444,7.608333333,0.105360515,5531.899801,25,16.94552529,30.35019455,0,0.814204574,0.870833337,0.75757575,23.73540878,0
1,10,ARG,1001,Partido Justicialista,ARG_ Justicialist Party,0.954545438,0.93650794,2.055735588,3.46260096,3.871201038,2.397895336,6.614785992,0.949999988,0.956521749,4.110873699,-0.618377268,-0.524056137,1.520754457,1.259166598,-0.783745706,1.914150596,2.693419933,0.885354817,0.920634925,0.952380955,0.954545438,0.052200265,0.033629637,0.025549684,0.70588237,1,12.60555556,10,1.282475829,5531.899801,25,16.94552529,8.171206226,0,0.945526719,0.93650794,0.954545438,6.614786148,0
5,11,BOL,1101,Movimiento al Socialismo,BOL_ Movement for Socialism,0.871794879,0.893939376,10.37717915,4.327043426,0,1.371603608,55.38461538,0.050000001,0.571428597,2.564949274,2.117233276,-0.046453901,-1.550359607,0.340954602,2.281915665,-1.106385946,1.194295526,-0.415960252,0.833333373,0.954545438,0.871794879,0.052486386,0.047673129,0.062588967,0.458333343,0,2.983333333,2.941666667,0.040821996,1033.618371,26,35.6474359,67.69230769,1,0.882867098,0.893939376,0.871794879,55.38461685,1
8,11,BOL,1104,Frente de Unidad Nacional,BOL_ National Unity Front,0.282051295,0.273148149,10.37717915,4.327043426,0,0,6.153846154,0.100000001,0.071428575,1.386294365,2.117233276,-0.046453901,-1.550359607,-0.886204123,-0.812720299,-0.938578367,-0.752148569,-1.408118367,0.296296299,0.25,0.282051295,0.109361216,0.101015255,0.066273779,0.13636364,0,0,0,0,1033.618371,26,35.6474359,2.307692308,0,0.277599722,0.273148149,0.282051295,6.153846264,0
11,12,BRA,1203,Partido do Movimento Democratico Brasileiro,BRA_ Brazilian Democratic Movement,0.631578982,0.935048997,4.072059631,8.116785227,3.637586117,1.791759491,17.34892788,0.949999988,0.050000001,3.76120019,0.04447373,2.047368288,1.335422277,0.716863513,-0.108999766,1.914150596,-0.835567594,0.591009617,0.958333313,0.911764681,0.631578982,0.029397236,0.049119078,0.078106612,0.444444448,0,21.10555556,5,2.839403391,4660.440294,23,13.84015595,15.39961014,0,0.78331399,0.935048997,0.631578982,17.34892845,0
13,12,BRA,1205,Partido Socialista Brasileiro,BRA_ Brazilian Socialist Party,0.479166687,0.630681813,4.072059631,8.116785227,3.637586117,0,5.263157895,0.25,0.200000003,4.110873699,0.04447373,2.047368288,1.335422277,-0.886204123,-0.868708789,-0.4351556,-0.251634389,0.885354817,0.636363626,0.625,0.479166687,0.073854893,0.06818182,0.070052885,0.647058845,0,7,0,2.079441547,4660.440294,23,13.84015595,6.627680312,0,0.55492425,0.630681813,0.479166687,5.263157845,0
9,12,BRA,1201,Partido da Frente Liberal,BRA_ Democrats,0.368421048,0.813725471,4.072059631,8.116785227,3.178053856,0,12.6705653,0.129999995,0,3.135494232,0.04447373,2.047368288,0.970864594,-0.886204123,-0.403080672,-0.837893844,-1.030212045,0.064308211,0.833333313,0.79411763,0.368421048,0.054433104,0.077293366,0.07358513,0.388888896,0,17.2,0,2.901421547,4660.440294,23,13.84015595,8.382066277,0,0.591073275,0.813725471,0.368421048,12.67056561,0
12,12,BRA,1204,Partido Progressista,BRA_ Progressive Party,0.200000003,0.496503532,4.072059631,8.116785227,1.791759491,0,8.187134503,0.100000001,0.100000001,1.609437943,0.04447373,2.047368288,-0.128915042,-0.886204123,-0.684908211,-0.938578367,-0.640923202,-1.220282435,0.538461566,0.454545468,0.200000003,0.062588967,0.085280284,0.056343619,0.357142866,0,4.722222222,0,1.744357228,4660.440294,23,13.84015595,7.992202729,0,0.34825176,0.496503532,0.200000003,8.187134743,0
14,12,BRA,1206,Partido da Social Democracia Brasileira,BRA_ Social Democracy Party,0.666666687,0.855392158,4.072059631,8.116785227,3.044522524,2.195989132,12.6705653,0.100000001,0,2.995732307,0.04447373,2.047368288,0.864931047,1.078523278,-0.403080672,-0.938578367,-1.030212045,-0.053339392,0.916666687,0.79411763,0.666666687,0.049690399,0.077293366,0.064150035,0.342105269,0,10.86666667,7.988888889,1.35526228,4660.440294,23,13.84015595,10.33138402,0,0.761029422,0.855392158,0.666666687,12.67056561,0
15,12,BRA,1207,Partido dos Trabalhadores,BRA_ Workers' Party,0.947368443,1,4.072059631,8.116785227,3.367295742,1.945513248,16.17933723,0.670000017,0.800000012,3.33220458,0.04447373,2.047368288,1.120994568,0.854425311,-0.182520077,0.974428236,2.084098339,0.229893371,1,1,0.947368443,0,0,0.039398406,0.526315808,0,6.383333333,5.997222222,0.326502055,4660.440294,23,13.84015595,17.1539961,1,0.973684192,1,0.947368443,16.17933655,1
